system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
00000000000000000028_0,-13.825622390389743,191.5324402006663,0.4729888363261496,-6.5279719245960734,-20.353594314985813,90.2843611463204,43.06542455368987,2.140315523179824,37.634846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5246539352789,12.53890931456131]}"
00000000000000000029_0,-17.108867022184683,293.5119290153228,0.5873260916205589,-10.000035356205533,-27.108902378390223,170.73321483447197,100.82350789431716,1.728869193828359,39.911102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18616873622268,12.185332418731868]}"
0000000000000000002b_0,-17.08488143611037,292.29719566736566,0.617855049092198,-10.53224338253565,-27.61712481864602,179.776867273253,111.72462030587376,1.635648372504055,44.154316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.50731187601356,12.369127725862722]}"
0000000000000000002c_0,-15.080951342595688,227.85383185391746,0.6285113372362926,-9.463571321870157,-24.54452266446585,142.75364865901278,89.7871676092787,1.597506852527611,38.39724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3411281227333,12.310467737809716]}"
0000000000000000002d_0,-19.90041504777732,401.8748500120923,0.6339855191899069,-12.447190882575718,-32.34760593035304,247.88658389308378,156.85344819318615,1.6182671799528865,37.417038,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57126734996102,13.765558835026518]}"
0000000000000000002e_0,-21.670620516406228,475.6958430974979,0.6347673711618741,-13.61432069903854,-35.28494121544477,295.6588043067817,187.01885444968218,1.602649365906882,38.263348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97110748292262,14.792692530888779]}"
0000000000000000002f_0,-14.48130666131754,209.832661400855,0.5221638014884061,-7.553095429542536,-22.034402090860077,109.32029612939763,57.07665783899377,1.9192134076803744,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.37355273020816,16.305994458516523]}"
00000000000000000030_0,-23.440169515974368,549.441546937614,0.6159258946320466,-14.43740737945334,-37.87757689542771,338.4152763455656,208.43873184029377,1.6235719405780118,37.59532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.42502619598821,17.39502207745462]}"
00000000000000000032_0,-14.73701146729069,217.54447018304685,0.5195381668009773,-7.575475125640574,-22.312486592931265,110.63629697647951,60.14740673937344,2.061999994467561,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35414912007117,16.335908357477706]}"
00000000000000000033_0,-13.990114130541894,196.9419696738982,0.6080084622032436,-8.494675458784279,-22.484789589326166,119.44273478943494,73.15679096357563,1.6613904163910898,37.109165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.55635531624463,13.744178931264472]}"
00000000000000000034_0,-13.670275668653519,187.15030374766593,0.6465385869527696,-8.845425083765258,-22.51570075241878,121.1937864530874,78.82452776754138,1.5533556164524098,36.85147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75507180565558,12.956446258620065]}"
00000000000000000035_0,-16.827863294953183,284.6145798946555,0.47584450707223963,-7.984041312930072,-24.811904607883257,134.62978073923244,64.18020747318918,2.117573420707562,39.910713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17026855569377,12.185601913317104]}"
00000000000000000036_0,-14.942697448222564,227.01724990102105,0.5050626606401714,-7.350302823677497,-22.293000271900056,108.60914984258851,54.59279579466921,2.077027559956671,44.26184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.90786151263875,15.20510907782805]}"
00000000000000000037_0,-14.098634933807205,199.55193165570822,0.4846748719642206,-6.806202014977509,-20.90483694878472,95.97450262419734,47.1113356278795,2.106283017025992,41.944473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45287396979592,13.165843551348324]}"
00000000000000000038_0,-13.68550989513793,189.8285041988833,0.5617879975063619,-7.642166448273762,-21.327676343411696,105.34566838073964,59.79028164921393,1.8174450925628396,38.253235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9041829942557,13.953396560935909]}"
00000000000000000039_0,-13.734514104142367,189.10118628772705,0.5126896081414006,-7.046620517016515,-20.781134621158884,97.08308813761178,49.951072766504765,1.954542205858412,34.423885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.92789851775646,12.470817016025052]}"
0000000000000000003a_0,-15.910888036988112,254.6737404648371,0.17096995711041452,-2.734676590374397,-18.645564627362518,44.058388003235386,11.003789981712568,-9.806896494143018,36.85147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75147854451909,12.970370145523916]}"
0000000000000000003c_0,-17.971576371379236,322.99962551352337,0.5452113317047882,-9.804090331182831,-27.775666702562066,176.31092402148374,96.72957361719133,1.843550579953111,44.134354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15112529157831,16.24886160644652]}"
0000000000000000003d_0,-18.724365344495595,350.60185755414767,0.5845844548952406,-10.945972908171292,-29.670338252666888,204.95639578355022,119.81432290641989,1.710616817854322,36.00328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66137294724005,16.87139409834135]}"
0000000000000000003e_0,-20.73322508625333,439.8929391195246,0.640320050918896,-13.038064243607693,-33.77128932986102,272.07236866413893,174.56827830112988,1.6213721125682954,41.944473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44029755581823,13.16144180645614]}"
0000000000000000003f_0,-12.346398486167342,152.9928315493879,0.1698517036897765,-2.1737693105081077,-14.520167796675452,27.880138449933437,11.550918467551332,-1.9862334048636825,36.85147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73108678756958,12.9567157532053]}"
00000000000000000040_0,-15.970964479456873,256.13272154303,0.554250133870131,-8.812145231715473,-24.78310971117234,140.68670823716863,79.27569890633137,1.8524916218208287,37.10435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.55545700096052,13.765289340441281]}"
00000000000000000041_0,-21.55790166515866,466.0811440673227,0.6168030746867323,-13.321913334243625,-34.879814999402285,288.5553021191218,178.86142305170802,1.623245380579728,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35666440286671,16.32737436227857]}"
00000000000000000044_0,-18.71357912857603,369.6708340529634,0.6092291156227788,-10.991981704585335,-29.705560833161368,212.3061265874065,128.53450705808308,1.7654103241406656,41.944473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45862318761428,13.13799577754062]}"
00000000000000000045_0,-14.256704016115295,203.80388169583503,0.4476220033032423,-6.374686835322065,-20.631390851437363,91.05443021669934,41.169006037067504,2.2623241766244213,44.15425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48323702639915,12.350352936424624]}"
00000000000000000046_0,-16.66472599278116,278.99159871734065,0.5359825363366817,-8.861980457614505,-25.526706450395668,147.17603894892625,78.77941030237444,1.8931919592689708,44.678123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.88549346206418,15.204031099487107]}"
00000000000000000047_0,-19.659215026529466,388.6986939333704,0.5689935659582954,-11.164313543088014,-30.82352856961748,220.32350515114592,125.68159992915389,1.7696052566653824,44.154316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48215904805821,12.366432780010364]}"
00000000000000000048_0,-15.884182164435419,253.2233630082262,0.5447241222036702,-8.666826441256509,-24.55100860569193,138.3646870301067,75.79910141332869,1.8410812546741988,35.046165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89016927582344,12.467044091831749]}"
00000000000000000049_0,-13.971823226824442,198.30250716993032,0.5679897308331362,-7.835131539485932,-21.80695476631036,109.68009908449787,62.41858988855291,1.8084247092448251,41.944473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46068931276776,13.16009433352996]}"
0000000000000000004a_0,-24.025834954822024,580.0187371862411,0.6393630412813008,-15.404973425482353,-39.43080838030438,372.98087803023964,241.72488340548236,1.5748439958275378,39.17748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33906199757982,12.836700831246933]}"
